epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.51863,1.51578,2.71357,1.98523,0.00333,1,0.56075,0.2875,1.51956,3.42875,2.20967,0.00022,0.00022,0.00022
2,8.67107,1.3747,1.72554,1.66029,0.00333,1,0.32978,0.10955,1.59689,3.45908,2.28011,0.00044482,0.00044482,0.00044482
3,10.8093,1.3478,1.66333,1.64248,0.94392,0.89655,0.98559,0.56474,1.22111,2.8651,1.81666,0.0006538,0.0006538,0.0006538
4,12.9429,1.32571,1.49615,1.65072,0.86352,0.72414,0.83195,0.31702,1.63072,2.83306,2.28524,0.00084694,0.00084694,0.00084694
5,15.722,1.35245,1.43928,1.6876,0.89836,0.60996,0.89249,0.30525,1.68857,3.09099,2.24369,0.00102424,0.00102424,0.00102424
6,18.3768,1.30299,1.43143,1.60223,0.97706,0.68966,0.84499,0.34626,1.82388,2.90044,2.40036,0.0011857,0.0011857,0.0011857
7,20.4833,1.42633,1.42268,1.65667,0.96339,0.9076,0.94891,0.40724,1.9291,2.50429,2.7827,0.00133132,0.00133132,0.00133132
8,22.6194,1.35535,1.39864,1.62146,0.88347,0.78453,0.87177,0.41722,1.56463,2.44552,2.08302,0.0014611,0.0014611,0.0014611
9,24.7838,1.38686,1.38909,1.69163,0.76214,0.75862,0.82626,0.28265,2.06979,2.27212,3.02921,0.001472,0.001472,0.001472
10,26.933,1.30639,1.25395,1.64327,0.43198,0.7931,0.56648,0.16727,2.08591,2.55456,2.86984,0.001406,0.001406,0.001406
11,30.1789,1.36577,1.26569,1.59769,0.99261,1,0.995,0.51381,1.54163,1.39191,2.24843,0.00134,0.00134,0.00134
12,32.3549,1.1859,1.14903,1.51364,0.96469,0.96552,0.9482,0.36375,2.0163,1.43862,2.67508,0.001274,0.001274,0.001274
13,34.4933,1.25849,1.1433,1.4962,0.93519,0.99526,0.9897,0.5544,1.45801,1.44515,2.03645,0.001208,0.001208,0.001208
14,36.6074,1.28955,1.1438,1.54935,0.9927,1,0.995,0.56843,1.451,1.35703,1.96024,0.001142,0.001142,0.001142
15,38.8775,1.19336,1.113,1.4981,0.99569,1,0.995,0.50398,1.50862,1.50426,2.03766,0.001076,0.001076,0.001076
16,41.326,1.18235,1.10913,1.53181,0.99786,1,0.995,0.52045,1.50543,1.33073,1.98182,0.00101,0.00101,0.00101
17,44.2419,1.19013,1.01232,1.47537,0.99008,1,0.995,0.55004,1.51775,1.213,2.03136,0.000944,0.000944,0.000944
18,46.3026,1.24186,1.16994,1.57751,0.99771,1,0.995,0.55838,1.54441,1.03046,1.99087,0.000878,0.000878,0.000878
19,48.3634,1.18658,0.99647,1.46808,0.9976,1,0.995,0.44916,1.78241,1.05852,2.39934,0.000812,0.000812,0.000812
20,50.5747,1.15542,1.09248,1.47264,0.99677,1,0.995,0.5124,1.66211,1.03439,2.19584,0.000746,0.000746,0.000746
21,54.8267,1.39275,1.51664,2.01059,0.96147,0.96552,0.9672,0.44877,1.78241,1.22057,2.29562,0.00068,0.00068,0.00068
22,57.3796,1.09101,1.29809,1.62441,0.8581,0.86207,0.80923,0.32679,2.04866,1.30301,2.70497,0.000614,0.000614,0.000614
23,59.4158,1.17372,1.29985,1.74846,0.98748,1,0.995,0.43806,1.79041,1.23348,2.29993,0.000548,0.000548,0.000548
24,61.4749,1.09093,1.20458,1.63712,0.99385,1,0.995,0.5107,1.59293,1.16678,2.0393,0.000482,0.000482,0.000482
25,63.7545,1.08562,1.15123,1.58249,0.99305,1,0.995,0.54073,1.50839,1.16458,1.9353,0.000416,0.000416,0.000416
26,65.7536,1.10951,1.1351,1.68755,0.99182,1,0.995,0.49348,1.532,1.19434,1.96445,0.00035,0.00035,0.00035
27,68.7751,1.01276,1.09052,1.54708,0.99523,1,0.995,0.46318,1.61118,1.17717,2.07845,0.000284,0.000284,0.000284
28,70.9996,0.9375,1.05926,1.53832,0.99483,1,0.995,0.46845,1.58481,1.12951,2.04259,0.000218,0.000218,0.000218
29,72.9641,0.99213,1.0854,1.58923,0.99438,1,0.995,0.52682,1.50157,1.02759,1.9382,0.000152,0.000152,0.000152
30,75.0815,1.00909,0.99889,1.50429,0.99415,1,0.995,0.53889,1.47676,0.99622,1.90732,8.6e-05,8.6e-05,8.6e-05
